what is the highest point in florida ?	answer ( A , highest ( A , ( place ( A ) , location ( A , B ) , const ( B , state ( florida ) ) ) ) )
what are the high points of states surrounding mississippi ?	answer ( A , ( highpoint ( B , A ) , location ( A , B ) , state ( B ) , nextto ( B , C ) , const ( C , state ( mississippi ) ) ) )
what state has the shortest river ?	answer ( A , ( state ( A ) , location ( B , A ) , shortest ( B , river ( B ) ) ) )
what is the tallest mountain in the united states ?	answer ( A , highest ( A , ( mountain ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what is the capital of maine ?	answer ( A , ( capital ( A ) , location ( A , B ) , const ( B , state ( maine ) ) ) )
what are the populations of states through which the mississippi river run ?	answer ( A , ( population ( B , A ) , state ( B ) , const ( C , riverid ( mississippi ) ) , river ( C ) , traverse ( C , B ) ) )
name all the lakes of us ?	answer ( A , ( lake ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) )
which states border states through which the mississippi traverses ?	answer ( A , ( state ( A ) , nextto ( A , B ) , state ( B ) , const ( C , riverid ( mississippi ) ) , traverse ( C , B ) ) )
what is the highest mountain in alaska ?	answer ( A , highest ( A , ( mountain ( A ) , location ( A , B ) , const ( B , state ( alaska ) ) ) ) )
what is the population of illinois ?	answer ( A , ( population ( B , A ) , const ( B , state ( illinois ) ) ) )
name all the rivers in colorado ?	answer ( A , ( river ( A ) , location ( A , B ) , const ( B , state ( colorado ) ) ) )
in which state does the highest point in usa exist ?	answer ( A , ( location ( B , A ) , state ( A ) , highest ( B , ( place ( B ) , location ( B , C ) , const ( C , countryid ( usa ) ) ) ) ) )
which state is the city denver located in ?	answer ( A , ( state ( A ) , city ( B ) , const ( B , cityid ( denver ,  ) ) , location ( B , A ) ) )
what is the lowest point in texas ?	answer ( A , lowest ( A , ( place ( A ) , location ( A , B ) , const ( B , state ( texas ) ) ) ) )
how many states have a city called rochester ?	answer ( A , count ( B , ( state ( B ) , location ( C , B ) , const ( C , cityid ( rochester ,  ) ) ) , A ) )
which capitals are in the states that border texas ?	answer ( A , ( capital ( A ) , location ( A , B ) , state ( B ) , nextto ( B , C ) , const ( C , state ( texas ) ) ) )
how many people live in austin ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( austin ,  ) ) ) )
what states have rivers named colorado ?	answer ( A , ( state ( A ) , location ( B , A ) , const ( B , riverid ( colorado ) ) ) )
what is the size of texas ?	answer ( A , ( size ( B , A ) , const ( B , state ( texas ) ) ) )
what is the shortest river in the usa ?	answer ( A , shortest ( A , ( river ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what are the major cities of the us ?	answer ( A , ( major ( A ) , city ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) )
which state border kentucky ?	answer ( A , ( state ( A ) , nextto ( A , B ) , const ( B , state ( kentucky ) ) ) )
what is the population of oregon ?	answer ( A , ( population ( B , A ) , const ( B , state ( oregon ) ) ) )
what states have a city named austin ?	answer ( A , ( state ( A ) , location ( B , A ) , const ( B , cityid ( austin ,  ) ) ) )
what is the highest elevation in south carolina ?	answer ( A , highest ( A , ( place ( A ) , location ( A , B ) , const ( B , state ( ' south carolina ' ) ) ) ) )
how many people live in austin texas ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( austin , tx ) ) ) )
what are the rivers in the state of texas ?	answer ( A , ( river ( A ) , location ( A , B ) , state ( B ) , const ( B , state ( texas ) ) ) )
what is the lowest point of colorado ?	answer ( A , lowest ( A , ( place ( A ) , location ( A , B ) , const ( B , state ( colorado ) ) ) ) )
what is the population of atlanta ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( atlanta ,  ) ) ) )
what rivers are in utah ?	answer ( A , ( river ( A ) , location ( A , B ) , const ( B , state ( utah ) ) ) )
what river runs through the most states ?	answer ( A , most ( A , B , ( river ( A ) , traverse ( A , B ) , state ( B ) ) ) )
what is the population of sacramento ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( sacramento ,  ) ) ) )
could you tell me what is the highest point in the state of oregon ?	answer ( A , highest ( A , ( place ( A ) , location ( A , B ) , state ( B ) , const ( B , state ( oregon ) ) ) ) )
which states does the mississippi river run through ?	answer ( A , ( state ( A ) , const ( B , riverid ( mississippi ) ) , river ( B ) , traverse ( B , A ) ) )
what are the major cities in the smallest state in the us ?	answer ( A , ( major ( A ) , city ( A ) , location ( A , B ) , smallest ( B , ( state ( B ) , location ( B , C ) , const ( C , countryid ( usa ) ) ) ) ) )
how high is guadalupe peak ?	answer ( A , ( elevation ( B , A ) , const ( B , placeid ( ' guadalupe peak ' ) ) ) )
what river runs through illinois ?	answer ( A , ( river ( A ) , traverse ( A , B ) , const ( B , state ( illinois ) ) ) )
how long is the mississippi river ?	answer ( A , ( len ( B , A ) , const ( B , riverid ( mississippi ) ) , river ( B ) ) )
how high is the highest point in the largest state ?	answer ( A , ( elevation ( B , A ) , highest ( B , ( place ( B ) , location ( B , C ) , largest ( C , state ( C ) ) ) ) ) )
what is the area of south carolina ?	answer ( A , ( area ( B , A ) , const ( B , state ( ' south carolina ' ) ) ) )
what are the states through which the longest river runs ?	answer ( A , ( state ( A ) , longest ( B , ( river ( B ) , traverse ( B , A ) ) ) ) )
where is new orleans ?	answer ( A , ( location ( B , A ) , const ( B , cityid ( ' new orleans ' ,  ) ) ) )
in what state is mount mckinley ?	answer ( A , ( location ( B , A ) , state ( A ) , const ( B , placeid ( ' mount mckinley ' ) ) ) )
what state has highest elevation ?	answer ( A , ( state ( A ) , location ( B , A ) , highest ( B , place ( B ) ) ) )
what is the size of california ?	answer ( A , ( size ( B , A ) , const ( B , state ( california ) ) ) )
what is the smallest state that borders texas ?	answer ( A , smallest ( A , ( state ( A ) , nextto ( A , B ) , const ( B , state ( texas ) ) ) ) )
how many citizens in alabama ?	answer ( A , ( population ( B , A ) , const ( B , state ( alabama ) ) ) )
in which state is rochester ?	answer ( A , ( location ( B , A ) , state ( A ) , const ( B , cityid ( rochester ,  ) ) ) )
how many states in the us does the shortest river run through ?	answer ( A , count ( B , ( state ( B ) , location ( B , C ) , const ( C , countryid ( usa ) ) , shortest ( D , river ( D ) ) , traverse ( D , B ) ) , A ) )
what is the biggest state in continental us ?	answer ( A , largest ( A , ( state ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what is the area of the largest state ?	answer ( A , ( area ( B , A ) , largest ( B , state ( B ) ) ) )
where is mount whitney ?	answer ( A , ( location ( B , A ) , const ( B , placeid ( ' mount whitney ' ) ) ) )
how many states does iowa border ?	answer ( A , count ( B , ( state ( B ) , const ( C , state ( iowa ) ) , nextto ( C , B ) ) , A ) )
which states does the longest river cross ?	answer ( A , ( state ( A ) , longest ( B , river ( B ) ) , traverse ( B , A ) ) )
what river flows through kansas ?	answer ( A , ( river ( A ) , traverse ( A , B ) , const ( B , state ( kansas ) ) ) )
what is the population of austin texas ?	answer ( A , ( population ( B , A ) , const ( B , cityid ( austin , tx ) ) ) )
what is the capital of vermont ?	answer ( A , ( capital ( A ) , location ( A , B ) , const ( B , state ( vermont ) ) ) )
which states border colorado ?	answer ( A , ( state ( A ) , nextto ( A , B ) , const ( B , state ( colorado ) ) ) )
how long is the mississippi ?	answer ( A , ( len ( B , A ) , const ( B , riverid ( mississippi ) ) ) )
what state has the largest population density ?	answer ( A , largest ( B , ( state ( A ) , density ( A , B ) ) ) )
what states border georgia ?	answer ( A , ( state ( A ) , nextto ( A , B ) , const ( B , state ( georgia ) ) ) )
what is the capital of pennsylvania ?	answer ( A , ( capital ( A ) , location ( A , B ) , const ( B , state ( pennsylvania ) ) ) )
what are the biggest rivers in texas ?	answer ( A , longest ( A , ( river ( A ) , location ( A , B ) , const ( B , state ( texas ) ) ) ) )
what is the longest river in the united states ?	answer ( A , longest ( A , ( river ( A ) , location ( A , B ) , const ( B , countryid ( usa ) ) ) ) )
what is the capital of utah ?	answer ( A , ( capital ( A ) , location ( A , B ) , const ( B , state ( utah ) ) ) )
what state has the smallest population density ?	answer ( A , smallest ( B , ( state ( A ) , density ( A , B ) ) ) )
which capitals are not major cities ?	answer ( A , ( capital ( A ) , \+ ( major ( A ) , city ( A ) ) ) )
