Tell me what the notes are for South Australia 	SELECT col5 FROM table_1_1000181_1 WHERE col3='SOUTH AUSTRALIA' 
What is the current series where the new series began in June 2011?	SELECT col4 FROM table_1_1000181_1 WHERE col5='New series began in June 2011' 
What is the format for South Australia?	SELECT col2 FROM table_1_1000181_1 WHERE col0='South Australia' 
Name the background colour for the Australian Capital Territory	SELECT col1 FROM table_1_1000181_1 WHERE col0='Australian Capital Territory' 
how many times is the fuel propulsion is cng?	SELECT COUNT(col3) FROM table_1_10007452_3 WHERE col5='CNG' 
what is the fuel propulsion where the fleet series (quantity)is 310-329 (20)?	SELECT col5 FROM table_1_10007452_3 WHERE col3='310-329 (20)' 
who is the manufacturer for the order year 1998?	SELECT col1 FROM table_1_10007452_3 WHERE col0='1998' 
how many times is the model ge40lfr?	SELECT COUNT(col1) FROM table_1_10007452_3 WHERE col2='GE40LFR' 
how many times is the fleet series (quantity)is 468-473 (6)?	SELECT COUNT(col0) FROM table_1_10007452_3 WHERE col3='468-473 (6)' 
what is the powertrain (engine/transmission)when the order year is 2000?	SELECT col4 FROM table_1_10007452_3 WHERE col0='2000' 
